providerfastly Changes setting conditionals to optional;Allows the user to create both requestsettings and chachesettings with no conditional set. Conditionals were previously required but this limits options that Fastly allows as shown here Website documentation updatedCloses
Skip IAMSTS validation and metadata check;Skip IAMSTS validation and metadata checkSkip IAMSTS identity validation For environments or other apiimplementations where there are no IAMSTS endpoints available thisoption lets you opt out from that provider initialization step.Skip metdata api check For environments in which you know ahead oftime there isn't going to be a metadta api endpoint this option letsyou opt out from that check to save time.Sample provider configprovider aws  region useast skipiamcredsvalidation true skipiamaccountid true skipmetadataapicheck true
Documentation Update Fix a code sample that uses incorrect syntax.;Reasoning for docs updateterraform env create is not the correct syntax and its usage results in an error.Relevant Terraform versionI found this error when using the released.. and it appears in the master branch.
command Remove second DefaultDataDirectory const;No description provided.
provideraws Normalize IAM policy documents;Fixes and fixes .Two normalizations are appliedArrays of length become single strings because this is how they are returned from AWS APIs.Arrays of length more than are sorted because AWS stores them as sets and returns them in random order.
provideraws Fix import of RouteTable with destination prefixes;Route Tables can get routes that do not have a DestinationCidrBlock by way of awsvpcendpoint. These Routes are ignored in reading awsroutetable and so we should ignore them here as well.Fixes adds test
Allow AWS ELB resource name to be computed;To allow ease use with createbeforedestroy       The text was updated successfully but these errors were encountered
provideraws Fix issue with LB Cookie Stickiness and empty expiration period;cookieexpirationperiod is optional for the awslbcookiestickinesspolicy resource however we were sending the default value if nothing was in the configuration which is invalid.The change in resourceawslbcookiestickinesspolicytest confirms the bugfixFixes        The text was updated successfully but these errors were encountered
Add update flag to init command;Add the update flag to the init command so modules can be updated if necessary without the need to use terraform get       The text was updated successfully but these errors were encountered
Fix AWS ECS placement strategy spread fields;Resubmitting PR based on masterFix for .AWS API requires ECS placement strategies field attribute to bememory or cpu lowercase when typebin but these read back asMEMORY and CPU uppercase respectively.PR which fixed separately reported deals with this byalways lowering the case of the resource received from the API but thisbreaks for other field values e.g. instanceId instanceid.This PR only lowers the case of the returned resource when fieldMEMORY or CPU. Haven't checked if any other fields need thistreatment.
Add additional options to google provider;This PR adds disk device names and ability to create disks from snapshots
Initial SNS topic subscription support;Initial SNS topic and subscription support
Use a set for service account scopes. Fix;No description provided.
Improve idempotency of awsiamservercertificate provisioning;This pull request addresses issue . A brief recap followsWhen Terraform pulls down state data about AWS IAM certificates in its purview it normalizes the certificate body by trimming whitespace from it and taking a SHA hash of the resulting string. This works well for dealing with newline characters at the end of a certificate however this logic does not apply to the certificate chain. A change to the certificate chain is enough for Terraform to rebuild the resource. The combination of these two circumstances means that if one has an IAM certificate with a chain in their Terraform configuration terraform plan will always require some action even if everything appears to be in sync.This pull request normalizes the certificate chain in the same way as the certificate body. While the major gains are in the use of strings.TrimSpace the SHA hashing is nice to have as well. In passing the integration test for this resource has been updated to include a selfsigned certificate bearing a CA chain.
provideraws Normalize and compact SQS Redrive Policy JSON;The redrivepolicy needs to be normalized on save to state and we now document that the maxReceiveCount should be an integer not a string. Unfortunately the AWS API accepts either but will always return an integer.Fixes
provideraws Add epsilon to the regex date validation;Allows empty values for datesFixes        The text was updated successfully but these errors were encountered
Compute private ip addresses of ENIs if they are not specified;As AWS will assign the ENI an addressAddresses        The text was updated successfully but these errors were encountered
docker provider additions;Adds the following functionality to the dockercontainer resourcesupport for setting the entrypointsupport for setting the restart policy off|onfailure|alwayssupport for setting memory memoryswap and cpushares runtime constraintssupport for docker labelssupport for logdriver and logoptionsincludes HostConfig when creating container
providerazurerm Add azurermdnszone resource;This resource is the first which makes use of the new Riviera library at httpsgithub.comjenriviera so there is some additional set up work to add the provider to the client which gets passed among resources.
Small fix needed to be inline with the updated AWS SDK again...;Executed a couple of AWS ACC test as well to make sure everything works properly again after this fixà       The text was updated successfully but these errors were encountered
Fixing Go Vet errors;No description provided.
WIP provideraws CloudFront;Created a new PR as this is a rewritten implementation of my earlier attempt. The only feature not supported are multiple origins and behaviors.Also worth noting is the fragility of the CloudFront API. Whenever a new attribute is addedDefaultTTL was added this summer they are optional when creating the resource but not when updating an existing resource. Hopefully this does not happen too often.previous PR radeksimko justincampbell dalehamel
docsaws Fix the discrepencies of the emrcluster documentation;Fixes
Expose Route zone nameservers for parent zone NS record;No description provided.
Allow importing of awsiamrole awsiamrolepolicy awsiampolicy and awsiaminstanceprofile.;No description provided.
providersaws resource awsroutezoneassociation;wip adding awsroutezoneassociation asresource awsroutezoneassociation foobar  vpcid foo zoneid bar region uswest
Allow a codepipeline action to specify a rolearn;The codepipeline resource allows an action to specify a rolearn. However that role is never passed to AWS. This PR fixes that behavior.       The text was updated successfully but these errors were encountered
provideraws Add Security Group Rule as a top level resource;First attempt at making Security Group Rules ingress egress top level resources.This is raw like sushi and probably needs refinement but it's a good start.Missing documentationcc phinze
splitting an IAM ARN into a Name should return the last element;My awsiaminstanceprofile had a path of appsservice and a name of ServiceProfile. When I build new instances the tfstate file saved the value incorrectly.iaminstanceprofile appsWhen running terraform plan I continued to get this.iaminstanceprofile apps ServiceProfile forces new resource       The text was updated successfully but these errors were encountered
provideraws fix EIPs on new upstream sdk;As we've seen elsewhere the SDK now wants nils instead of empty arraysfor collectionsfixes thanks jstremick for pointing me in the right direction       The text was updated successfully but these errors were encountered
AWS Instance blockdevice Attribute;Added the ability to specify block devices for an AWS instance.blockdevice  devicename devsda volumetype gp volumesize 
provideraws awsdboptiongroup normalizes name to lowercase;This fixes . The code here lowercases the name andor prefix before sending it to the AWS API and the terraform state. This means the state will match the actual resource name and be able to converge the diff.Other providers might validate and throw an error or warning instead of just letting it work but this is consistent with awsdbinstance. If this is the wrong approach I can use a validator instead.I've also updated all the tests to include uppercase letters which might be overkill.
providerazurerm support importing of subnet resource;TFACC go test .builtinprovidersazurerm v run TestAccAzureRMSubnet timeout m RUN TestAccAzureRMSubnetimportBasic PASS TestAccAzureRMSubnetimportBasic .s RUN TestAccAzureRMSubnetbasic PASS TestAccAzureRMSubnetbasic .s RUN TestAccAzureRMSubnetdisappears PASS TestAccAzureRMSubnetdisappears .sPASSok github.comhashicorpterraformbuiltinprovidersazurerm .s       The text was updated successfully but these errors were encountered
WIP provideraws Add support for AWS Config service;Finishing off the work started by stack in        The text was updated successfully but these errors were encountered
Initial SQS support;Initial support for making updating removing SQS queues feedback welcome.       The text was updated successfully but these errors were encountered
provideraws Change the way ARNs are built;ARNs used to be build using the iamconn.GetUser func call. This wouldn'twork on some scenarios and was changed so that we can expose theAccountId and Region via metaThis commit just changes the build ARN funcs to use this new way ofdoing things       The text was updated successfully but these errors were encountered
providersgoogle Change accountfile to expect a JSON string;Using the Google provider from Atlas if currently not possible without committing the accountfile to version control or only using terraform push. This adds accountfilecontents to allow specifying the contents of the accountfile in an environment variable encrypted on Atlas.
helperschema allow set items with hyphens;Fixes This fixes the way we replace with in computed sets to only consider the code. This allows set items with hyphens to work. They somewhat hilariously and sadly didn't work before.
Handle googlecomputeinstancegroupmanager not being found;Mark the resource as no longer available.Fixes .       The text was updated successfully but these errors were encountered
WIP Update cloudfront behaviors to behave like lists and allow for ordering;Updated references to sets instead of listsUpdated tests so they passSuccessfully added ordered rules to cloudfrontHowever some setbacksStill encountering a bug that maybe someone can help me with... I get an index out of bounds exception when I run terraform apply due to this linecloudfrontdistributionconfigurationstructure.goForwardedValues expandForwardedValuesmforwardedvalues.schema.Set.List.mapstringinterface There may also be a bug in fieldreader.go addrToSchema. I'm not sure that code is robust against crazy combinations of nested sets and lists.TODOFix index out of bounds exceptionWrite new tests for this behaviorUpdate documentation about the new syntax for cachebehaviorsIf necessary concoct some migration plan from sets to lists... Then again seemed to maybe work fine just making the changes to the tf file Maybe to be safe we can keep support for the set in a deprecated way.
enabled openstack plugin reading env values;No description provided.
provideraws Add missing id argument for Route Table data source;Documentation for the awsroutetable data source mentions that it supports a route table id as an argument however it was missing from the actual provider code.Adds in the missing provider code adds a test and updates the documentation to use rtbid as the argument instead of the more ambiguous id.
Aurora rds;This is pull request to add aws rds db cluster parameter group function.GH       The text was updated successfully but these errors were encountered
S Bucket Object Sever Side Encryption;This PR sees support for server side encryption added to s bucket object resources. This functionality is equivalent toaws s cp sse awskms source destinationwhich facilitates using S default master key for server side encryption.Associated acceptance testing and documentation has been included.
test use block scope in testbufferswap.js;Checklist make j test UNIX or vcbuild test Windows passes tests andor benchmarks are included documentation is changed or added commit message follows commit guidelinesAffected core subsystems
readline corrected concievably spelling;corrected the spelling of concievably in readline.js to conceivably       The text was updated successfully but these errors were encountered
doc fix a few napi doc issues;Add doc for napicreatestringlatin.Fix signatures where c string was specified instead of napivalue.Fix return type of napicallback.Update to specify that napiescapehandle can only be called oncefor a given scope.Fixes Fixes Fixes Checklist make j test UNIX or vcbuild test Windows passes documentation is changed or added commit message follows commit guidelinesAffected core subsystemsdoc napi
deps upgrade npm to ..;Checklist tests and code linting passes a test andor benchmark is included documentation is changed or added the commit message follows commit guidelinesAffected core subsystemsdepsDescription of changeHey y'allThis is a fairly small release that includes two npm versions. Nothing particularly worth noting about these other than some documentation updatestest tweaks except that this includes thealphanerd's patches to make sure .nycoutput didn't get included in the release tarball which was done as a oneoff point release.Changelogs....r iarnar thealphanerdr Fishrock
